Gene Family	DC001	DC003	DC004	DC005	DC006	DC007	DC009	DC010	DC011	DC013	DC015	DC016	DC017	DC018	DC019	DC020	DC021	DC022	DC023	DC024	DC026	DC027	DC029	DC032	DC033	DC034	DC035	DC036	DC037	DC038	DC039	DC041	DC042	DC044	DC048	DC049	DC050	DC052	DC054	DC056	DC057	DC058	DC060	DC061	DC063	DC064	DC065	DC066	DC067	DC068	DC069	DC070	DC071	DC072	DC073	DC075	DC076	DC077	DC078	DC079	DC081	DC082	DC083	DC085	DC087	DC090	DC092	DC094	DC095	DC096	DC097	DC098	DC099	DC100	DC101	DC102	DC103	DC104	DC105	DC106	DC107	DC108	DC109	DC110	DC111	DC112	DC113	DC114	DC115	DC117	DC118	DC119	DC120	DC121	DC123	DC125	DC126	DC127	DC128	DC131	DC135	DC136	DC137	DC138	DC139	DC140	DC141	DC145	DC147	DC148	DC149	DC150	DC151	DC152	DC153	DC154	DC155	DC156	DC158	DC159	DC160	DC161	DC162	DC163	DC164	DC165	DC167	DP001	DP002	DP003	DP004	DP005	DP006	DP007	DP008	DP009	DP011	DP012	DP013	DP014	DP017	DP018	DP019	DP020	DP021	DP022	DP024	DP025	DP026	DP027	DP028	DP029	DP030	DP031	DP032	DP035	DP037	DP038	DP039	DP040	DP041	DP042	DP043	DP045	DP046	DP047	DP048	DP049	DP050	DP052	DP053	DP054	DP055	DP057	DP058	DP060	DP061	DP063	DP064	DP065	DP066	DP067	DP068	DP069	DP070	DP071	DP072	DP073	DP074	DP075	DP077	DP078	DP079	DP080	DP081	DP082	DP083	DP084	DP086	DP087	DP088	DP090	DP091	DP092	DP094	DP095	DP096	DP098	DP100	DP101	DP103	DP104	DP107	DP108	DP109	DP110	DP111	DP112	DP114	DP115	DP116	DP117	DP119	DP120	DP121	DP122	DP123	DP124	DP127	DP130	DP131	DP132	DP135	DP136	DP137	DP138	DP139	DP143	DP144	DP146	DP147	DP148	DP149	DP150	DP151	DP152	DP153	DP154	DP155	DP156	DP157	DP158	DP159	DP160	DP161	DP162	DP164	DP165	DP166	DP167	DP169	DP170	DP171	DP172	DP175	DP176	DP177	DP178	DP179	DP180	DP181	DP183	DP184	DP185	DP186	DP187	DP188	DP189	DP192	DP193	DP194	DP195	DP197	DP198	DP199	DP200	DP201	DP202	DP203	DP204	DP206	DP207	DP208	DP211	DP213	DP218	DP219	DP220	DP221	DP222	DP223	DP224	DP225	DP226	DP229	DP231	DP234	DP236	DP237	DP239	DP240	DP241	DP243	DP244	DP245	DP246	DP249	DP250	DP252	DP253	DP254	DP255	DP256	DP258	DP260	DP261	DP262	DP263	DP264	DP265	DP267	DP269	DP270	DP271	DP272	DP273	DP274	DP275	DP276	DP277	DP278	DP279	DP280	DP281	DP282	DP284	DP285	DP287	DP292	DP293	DP294	DP295	DP296	DP297	DP299	DP300	DP301	DP302	DP303	DP304	DP305	DP307	DP308	DP309	DP310	DC168	DC169	DC170	DC171	DC172	DC173	DC174	DC175	DC176	DC177	DC178	DC179	DC181	DC183	DC185	DC186	DC187	DC188	DC189	DC193	DC194	DC195	DC196	DC198	DC199	DC200	DC201	DC202	DC203	DC204	DC205	DC206	DC208	DC209	DC211	DC212	DC213	DC214	DC215	DC216	DC217	DC218	DC219	DC221	DC223	DC224	DC226	DC229	DC230	DC231	DC232	DC234	DC235	DC239	DC241	DC243	DC244	DC245	DC246	DC247	DC248	DC249	DC252	DC253	DC254	DC255	DC257	DC259	DC261	DC263	DC265	DC266	DC267	DC268	DC269	DC270	DC271	DC273	DC274	DC276	DC277	DC279	DC281	DC282	DC283	DC285	DC287	DC288	DC290	DC291	DC292	DC293	DC294	DC296	DC297	DC298	DC300	DC302	DC305	DC307	DC308	DC310	DC312	DC313	DC314	DP312	DP313	DP316	DP317	DP319	DP320	DP321	DP322	DP323	DP324	DP326	DP327	DP328	DP331	DP332	DP333	DP334	DP335	DP336	DP337	DP338	DP339	DP340	DP341	DP342	DP346	DP347	DP348	DP349	DP350	DP351	DP352	DP353	DP354	DP356	DP357	DP359	DP360	DP361	DP362	DP364	DP367	DP368	DP369	DP371	DP373	DP375	DP376	DP377	DP379	DP380	DP381	DP382	DP383	DP384	DP385	DP389	DP391	DP392	DP393	DP394	DP396	DP397	DP398	DP399	DP400	DP401	DP402	DP404	DP405	DP406	DP407	DP408	DP409	DP412	DP413	DP414	DP415	DP416	DP418	DP419	DP420	DP422	DP423	DP424	DP427	DP428	DP430	DP431	DP432	DP434	DP436	DP437	DP438	DP439	DP440	DP441	DP443	DP444	DP445	DP446	DP447	DP448	DP449	DP450	DP451	DP452	DP453	DP454	DP455	DP456	DP458	DP459	DP460	DP463	DP464	DP466	DP467	DP469	DP470	DP472	DP473	DP474	DP476	DP477	DP478	DP480	DP483	DP485	DP486	DP488	DP489	DP490	DP491	DP492	DP493	DP494	DP495	DP497	DP498	DP499	DP500	DP501	DP502	DP503	DP504	DP506	DP507	DP508	DP509	DP511	DP513	DP514	DP515	DP516	DP518	DP520	DP523	DP524	DP525	DP527	DP528	DP529	DP530	DP532	DP533	DP535	DP537	DP538	DP539	DP540	DP541	DP542	DP544	DP545	DP546	DP547	DP548	DP550	DP552	DP553	DP554	DP556	DP558	DP560	DP562	DP563	DP564	DP566	DP567	DP568	DP569	DP570	DP571	DP572	DP574	DP576	DP577	DP578	DP579	DP580	DP581	DP582	DP585	DP587	DP589	DP590	DP591	DP593	DP594	DP595	DP596	DP597	DP598	DP600	DP601	DP602	DP603	DP604	DP605	DP606	DP607	DP610	DP611	DP613	DP615	DP616	DP618	DP619	DP620	DP621	DP622	DP623	DP624	DP625	DP626	DP627	DP628	DP631	DP632	DP634	DP637	DP638	DP639	DP640	DP641	DP642	DP644	DP646	SC0558	SC0637	SP1112	SP1113	SP1114
K00463: indoleamine 2,3-dioxygenase [EC:1.13.11.52]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.3570786819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74.6016308355	91.7358488035	0	46.1239417869
K00486: kynurenine 3-monooxygenase [EC:1.14.13.9]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.1580977262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.2579855507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.2036847227	63.2132941388	0	20.9956237849
